Date,SA-T,ZN-T
9/26/2021,23.18702006,22.84090909
9/27/2021,20.053586,22.75883838
9/28/2021,19.68754879,22.50820707
9/29/2021,20.03957099,22.49095118
9/30/2021,19.61073414,22.47285353
10/1/2021,20.54264474,22.73253367
10/2/2021,21.74574789,22.97569444
10/3/2021,23.65299071,23.59227693
10/4/2021,20.38555868,22.4464436
10/5/2021,20.64481682,21.89120371
10/6/2021,20.72114457,21.70212542
10/7/2021,20.37304065,21.85963804
10/8/2021,19.86392466,21.99179293
10/9/2021,22.3081257,23.04387626
10/10/2021,24.11076564,24.0954335
10/11/2021,20.33954563,22.79819023
10/12/2021,20.52636936,21.96475168
10/13/2021,20.36639759,21.71159512
10/14/2021,20.37085234,21.96780303
10/15/2021,20.48154521,21.40740741
10/16/2021,20.65151785,20.91982323
10/17/2021,22.2693286,21.78261784
10/18/2021,21.1934825,22.59185606
10/19/2021,20.21479973,22.39541246
10/20/2021,20.11753946,21.98989899
10/21/2021,20.49774372,21.76988636
10/22/2021,19.38252452,21.20275673
10/23/2021,20.94632793,21.57007576
10/24/2021,20.47875411,20.03072391
10/25/2021,20.16911925,20.21685606
10/26/2021,20.59202487,20.87710438
10/27/2021,20.27526869,21.23958333
10/28/2021,20.99232618,21.09175084
10/29/2021,21.07190867,21.01557239
10/30/2021,21.24752508,21.20896464
10/31/2021,20.64766568,20.31228956
11/1/2021,19.58018961,20.42445286
11/2/2021,20.21622222,21.26525673
11/3/2021,20.52949968,21.74547559
11/4/2021,20.60372307,22.09048822
11/5/2021,19.90591814,21.41214226
11/6/2021,21.24632313,21.61858165
11/7/2021,21.85360974,21.48263889
11/8/2021,20.52351077,22.00841751
11/9/2021,21.06904693,22.21127946
11/10/2021,20.98823632,22.06039562
11/11/2021,21.02466786,22.21359428
11/12/2021,20.36969252,22.05597643
11/13/2021,20.96946959,21.74126683
11/14/2021,20.41652778,20.09795876
11/15/2021,20.25505991,21.5881734
11/16/2021,20.32699274,21.88331229
11/17/2021,20.9023905,21.80976431
11/18/2021,20.42141246,21.58207071
11/19/2021,19.62158407,22.21717172
11/20/2021,20.20493512,21.80629209
11/21/2021,20.65244974,20.24621212
11/22/2021,20.07489966,21.08396464
11/23/2021,20.40202978,22.35500842
11/24/2021,20.680875,21.27462121
11/25/2021,19.67278041,19.20359848
11/26/2021,20.74991281,20.98926768
11/27/2021,21.21894781,21.61837121
11/28/2021,19.57755569,19.00820707
11/29/2021,20.72926168,20.71285774
11/30/2021,20.18886248,22.03798401
12/1/2021,20.66990148,21.81439394
12/2/2021,20.64551034,21.58691077
12/3/2021,20.50486507,21.9174032
12/4/2021,20.89004837,21.57912458
12/5/2021,19.02606022,18.66687711
12/6/2021,19.31994185,20.41824495
12/7/2021,20.24217891,22.11342593
12/8/2021,19.79310217,22.52199074
12/9/2021,20.1282023,21.99010943
12/10/2021,20.52280334,21.67098064
12/11/2021,21.18071072,21.41445707
12/12/2021,20.31293631,19.95096801
12/13/2021,19.8231673,20.88457492
12/14/2021,20.52722839,21.29313973
12/15/2021,20.81580247,21.82260101
12/16/2021,20.59433024,21.96843434
12/17/2021,20.81096437,21.98011364
12/18/2021,21.13642737,21.56449916
12/19/2021,21.08066123,20.73958333
12/20/2021,20.0641855,21.33912037
12/21/2021,20.28717203,21.39109848
12/22/2021,20.7854435,21.30155724
12/23/2021,20.93642502,21.82996633
12/24/2021,20.89284505,21.5586069
12/25/2021,20.71210925,20.53072391
12/26/2021,19.64638808,19.34837963
12/27/2021,20.41074674,20.19907407
12/28/2021,20.90015099,20.90088384
12/29/2021,20.96423671,21.37268518
12/30/2021,21.59945683,21.93465909
12/31/2021,21.56510757,22.24042508
1/1/2022,20.86587998,20.65782828
1/2/2022,21.17004752,20.80334596
1/3/2022,22.40534803,22.41087963
1/4/2022,21.66093256,22.55292508
1/5/2022,21.52475652,21.83627946
1/6/2022,22.65610224,23.81891835
1/7/2022,23.03602718,23.88047138
1/8/2022,23.19707071,23.99305556
1/9/2022,23.07010161,24.19728536
1/10/2022,22.24775347,23.12899832
1/11/2022,21.61783053,22.96643518
1/12/2022,20.99929174,22.53303872
1/13/2022,21.39049319,22.69118266
1/14/2022,21.69329805,22.9631734
1/15/2022,22.67460077,23.08964647
1/16/2022,22.20100459,22.07375842
1/17/2022,21.4173185,23.10711279
1/18/2022,20.84338359,23.06997054
1/19/2022,20.62270809,22.49221381
1/20/2022,22.06551968,23.29692761
1/21/2022,21.88408698,23.02840909
1/22/2022,21.69214236,22.27041246
1/23/2022,23.30311213,23.15814394
1/24/2022,19.97680443,22.29208754
1/25/2022,20.4269671,22.66477273
1/26/2022,21.57575758,22.93423822
1/27/2022,20.67361199,23.02262206
1/28/2022,21.34632948,23.30618687
1/29/2022,23.56795584,23.94781145
1/30/2022,23.93094529,23.57186448
1/31/2022,20.81236602,23.49494949
2/1/2022,20.71091712,22.92960858
2/2/2022,20.72181338,22.73579546
2/3/2022,20.80911188,23.41729798
2/4/2022,20.10623099,23.32807239
2/5/2022,21.89355931,23.52335858
2/6/2022,23.0006519,23.81912879
2/7/2022,19.69498583,23.42034933
2/8/2022,20.54788233,23.48747896
2/9/2022,20.9249879,23.72274832
2/10/2022,21.48870932,24.10353536
2/11/2022,22.18131958,24.04534933
2/12/2022,23.08861252,24.29471801
2/13/2022,23.12856931,23.87226431
2/14/2022,21.26150638,23.62289562
2/15/2022,21.31669052,23.43781566
2/16/2022,21.33966302,23.07249579
2/17/2022,21.24851652,23.40130471
2/18/2022,22.27466327,23.51757155
2/19/2022,22.37259291,23.21864478
2/20/2022,22.5491989,22.81513047
2/21/2022,20.77907222,22.20601852
2/22/2022,20.81651133,22.54187711
2/23/2022,21.62995297,23.39393939
2/24/2022,21.61558894,23.20401936
2/25/2022,21.4667561,23.4776936
2/26/2022,22.58215878,23.14362374
2/27/2022,23.54355615,24.1707702
2/28/2022,21.58829451,23.25431397
3/1/2022,20.66508533,22.42582071
3/2/2022,20.61957078,22.51957071
3/3/2022,21.10327174,22.53640572
3/4/2022,21.17792207,22.6026936
3/5/2022,21.50558449,22.02104377
3/6/2022,20.34211164,20.12426347
